RIDER_ID,RIDER_NAME,OTP,FARE,DATE_,AVALABLE,JOURNEY,TAXI_NO,CUSTOMER_ID,CUSTOMER_NAME,OTP,JOURNEY
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,3,KOMAL,9875,DIV
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,3,KOMAL,9875,DIV
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,3,KOMAL,9875,DIV
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,3,KOMAL,9875,DIV
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,3,KOMAL,9875,DIV
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,3,KOMAL,9875,DIV
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,3,KOMAL,9875,DIV
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,3,KOMAL,9875,DIV
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,3,KOMAL,9875,DIV
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,3,KOMAL,9875,DIV
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,3,KOMAL,9875,DIV
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,4,PARI,2223,MUMBAI
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,4,PARI,2223,MUMBAI
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,4,PARI,2223,MUMBAI
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,4,PARI,2223,MUMBAI
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,4,PARI,2223,MUMBAI
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,4,PARI,2223,MUMBAI
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,4,PARI,2223,MUMBAI
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,4,PARI,2223,MUMBAI
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,4,PARI,2223,MUMBAI
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,4,PARI,2223,MUMBAI
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,4,PARI,2223,MUMBAI
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,4,PARI,2223,MUMBAI
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,4,PARI,2223,MUMBAI
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,4,PARI,2223,MUMBAI
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,4,PARI,2223,MUMBAI
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,4,PARI,2223,MUMBAI
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,4,PARI,2223,MUMBAI
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,4,PARI,2223,MUMBAI
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,4,PARI,2223,MUMBAI
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,4,PARI,2223,MUMBAI
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,5,GABAR,7575,AHMDABAD
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,5,GABAR,7575,AHMDABAD
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,5,GABAR,7575,AHMDABAD
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,5,GABAR,7575,AHMDABAD
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,5,GABAR,7575,AHMDABAD
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,5,GABAR,7575,AHMDABAD
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,5,GABAR,7575,AHMDABAD
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,5,GABAR,7575,AHMDABAD
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,5,GABAR,7575,AHMDABAD
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,5,GABAR,7575,AHMDABAD
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,5,GABAR,7575,AHMDABAD
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,5,GABAR,7575,AHMDABAD
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,5,GABAR,7575,AHMDABAD
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,5,GABAR,7575,AHMDABAD
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,5,GABAR,7575,AHMDABAD
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,5,GABAR,7575,AHMDABAD
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,5,GABAR,7575,AHMDABAD
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,5,GABAR,7575,AHMDABAD
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,5,GABAR,7575,AHMDABAD
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,5,GABAR,7575,AHMDABAD
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,6,MAHIPAL,8765,DHAMLEJ
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,6,MAHIPAL,8765,DHAMLEJ
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,6,MAHIPAL,8765,DHAMLEJ
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,6,MAHIPAL,8765,DHAMLEJ
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,6,MAHIPAL,8765,DHAMLEJ
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,6,MAHIPAL,8765,DHAMLEJ
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,6,MAHIPAL,8765,DHAMLEJ
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,6,MAHIPAL,8765,DHAMLEJ
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,6,MAHIPAL,8765,DHAMLEJ
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,6,MAHIPAL,8765,DHAMLEJ
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,6,MAHIPAL,8765,DHAMLEJ
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,6,MAHIPAL,8765,DHAMLEJ
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,6,MAHIPAL,8765,DHAMLEJ
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,6,MAHIPAL,8765,DHAMLEJ
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,6,MAHIPAL,8765,DHAMLEJ
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,6,MAHIPAL,8765,DHAMLEJ
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,6,MAHIPAL,8765,DHAMLEJ
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,6,MAHIPAL,8765,DHAMLEJ
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,6,MAHIPAL,8765,DHAMLEJ
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,6,MAHIPAL,8765,DHAMLEJ
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,7,KANO,2345,AMBUJANAGAR
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,7,KANO,2345,AMBUJANAGAR
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,7,KANO,2345,AMBUJANAGAR
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,7,KANO,2345,AMBUJANAGAR
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,7,KANO,2345,AMBUJANAGAR
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,7,KANO,2345,AMBUJANAGAR
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,7,KANO,2345,AMBUJANAGAR
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,7,KANO,2345,AMBUJANAGAR
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,7,KANO,2345,AMBUJANAGAR
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,7,KANO,2345,AMBUJANAGAR
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,7,KANO,2345,AMBUJANAGAR
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,7,KANO,2345,AMBUJANAGAR
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,7,KANO,2345,AMBUJANAGAR
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,7,KANO,2345,AMBUJANAGAR
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,7,KANO,2345,AMBUJANAGAR
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,7,KANO,2345,AMBUJANAGAR
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,7,KANO,2345,AMBUJANAGAR
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,7,KANO,2345,AMBUJANAGAR
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,7,KANO,2345,AMBUJANAGAR
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,7,KANO,2345,AMBUJANAGAR
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,8,BHAGAVATI,9399,MANEKCHOK
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,8,BHAGAVATI,9399,MANEKCHOK
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,8,BHAGAVATI,9399,MANEKCHOK
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,8,BHAGAVATI,9399,MANEKCHOK
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,8,BHAGAVATI,9399,MANEKCHOK
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,8,BHAGAVATI,9399,MANEKCHOK
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,8,BHAGAVATI,9399,MANEKCHOK
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,8,BHAGAVATI,9399,MANEKCHOK
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,8,BHAGAVATI,9399,MANEKCHOK
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,8,BHAGAVATI,9399,MANEKCHOK
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,8,BHAGAVATI,9399,MANEKCHOK
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,8,BHAGAVATI,9399,MANEKCHOK
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,8,BHAGAVATI,9399,MANEKCHOK
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,8,BHAGAVATI,9399,MANEKCHOK
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,8,BHAGAVATI,9399,MANEKCHOK
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,8,BHAGAVATI,9399,MANEKCHOK
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,8,BHAGAVATI,9399,MANEKCHOK
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,8,BHAGAVATI,9399,MANEKCHOK
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,8,BHAGAVATI,9399,MANEKCHOK
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,8,BHAGAVATI,9399,MANEKCHOK
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,9,INDIRA,3233,RAJKOT
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,9,INDIRA,3233,RAJKOT
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,9,INDIRA,3233,RAJKOT
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,9,INDIRA,3233,RAJKOT
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,9,INDIRA,3233,RAJKOT
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,9,INDIRA,3233,RAJKOT
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,9,INDIRA,3233,RAJKOT
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,9,INDIRA,3233,RAJKOT
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,9,INDIRA,3233,RAJKOT
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,9,INDIRA,3233,RAJKOT
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,9,INDIRA,3233,RAJKOT
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,9,INDIRA,3233,RAJKOT
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,9,INDIRA,3233,RAJKOT
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,9,INDIRA,3233,RAJKOT
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,9,INDIRA,3233,RAJKOT
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,9,INDIRA,3233,RAJKOT
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,9,INDIRA,3233,RAJKOT
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,9,INDIRA,3233,RAJKOT
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,9,INDIRA,3233,RAJKOT
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,9,INDIRA,3233,RAJKOT
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,10,RAHUL,3453,KAJ
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,10,RAHUL,3453,KAJ
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,10,RAHUL,3453,KAJ
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,10,RAHUL,3453,KAJ
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,10,RAHUL,3453,KAJ
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,10,RAHUL,3453,KAJ
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,10,RAHUL,3453,KAJ
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,10,RAHUL,3453,KAJ
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,10,RAHUL,3453,KAJ
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,10,RAHUL,3453,KAJ
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,10,RAHUL,3453,KAJ
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,10,RAHUL,3453,KAJ
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,10,RAHUL,3453,KAJ
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,10,RAHUL,3453,KAJ
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,10,RAHUL,3453,KAJ
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,10,RAHUL,3453,KAJ
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,10,RAHUL,3453,KAJ
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,10,RAHUL,3453,KAJ
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,10,RAHUL,3453,KAJ
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,10,RAHUL,3453,KAJ
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,11,AJIT,2342,AATKOT
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,11,AJIT,2342,AATKOT
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,11,AJIT,2342,AATKOT
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,11,AJIT,2342,AATKOT
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,11,AJIT,2342,AATKOT
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,11,AJIT,2342,AATKOT
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,11,AJIT,2342,AATKOT
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,11,AJIT,2342,AATKOT
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,11,AJIT,2342,AATKOT
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,11,AJIT,2342,AATKOT
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,11,AJIT,2342,AATKOT
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,11,AJIT,2342,AATKOT
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,11,AJIT,2342,AATKOT
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,11,AJIT,2342,AATKOT
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,11,AJIT,2342,AATKOT
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,11,AJIT,2342,AATKOT
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,11,AJIT,2342,AATKOT
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,11,AJIT,2342,AATKOT
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,11,AJIT,2342,AATKOT
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,11,AJIT,2342,AATKOT
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,12,BHAVESH,2212,KALUPUR
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,12,BHAVESH,2212,KALUPUR
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,12,BHAVESH,2212,KALUPUR
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,12,BHAVESH,2212,KALUPUR
16,MAHENDER,5454,2000,2023-09-08,AVALABLE,BHAVNAGR,3000,12,BHAVESH,2212,KALUPUR
15,VISHAL,2212,1000,2023-03-01,AVALABLE,DHAMLEJ,3300,12,BHAVESH,2212,KALUPUR
14,KISAN,2343,2000,2023-04-05,AVALABLE,KANPUR,3330,12,BHAVESH,2212,KALUPUR
13,ISHAN,2234,9100,2023-03-02,NOTAVALABLE,MUDARA,2332,12,BHAVESH,2212,KALUPUR
12,VIRAT,2342,500,2023-04-01,AVALABLE,RAJORI,3423,12,BHAVESH,2212,KALUPUR
11,VIMAL,3453,200,2023-03-03,AVALABLE,KAJALI,7456,12,BHAVESH,2212,KALUPUR
10,MIRAJ,3233,300,2023-05-06,AVALABLE,MANINAGAR,4232,12,BHAVESH,2212,KALUPUR
9,PURV,2234,300,2023-06-07,AVALABLE,YADAVNAGAR,1233,12,BHAVESH,2212,KALUPUR
8,DISHANT,930,240,2023-04-06,AVALABLE,MITIYAZ,9342,12,BHAVESH,2212,KALUPUR
7,BRIJESH,2345,1000,2023-08-12,AVALABLE,JUNAGADH,5555,12,BHAVESH,2212,KALUPUR
6,JASMIT,8765,800,2023-06-09,NOTAVALABLE,KODINAR,2345,12,BHAVESH,2212,KALUPUR
5,ANAD,7575,200,2023-05-06,AVALABLE,VERAVAL,9987,12,BHAVESH,2212,KALUPUR
4,SANTOSH,2223,340,2023-03-04,AVALABLE,UNA,2222,12,BHAVESH,2212,KALUPUR
3,JAYRAJ,987,400,2023-03-03,AVALABLE,DIV,9798,12,BHAVESH,2212,KALUPUR
2,JASPAL,8574,500,2023-07-06,AVALABLE,RAJKOT,3000,12,BHAVESH,2212,KALUPUR
1,PARTHIV,1295,200,2011-10-15,AVALABLE,AHMDABAD,2345,12,BHAVESH,2212,KALUPUR
20,ADIYA,9865,2300,2023-03-01,AVALABLE,MIRZAPUR,3002,13,ANUPA,5454,MANEKVALA
19,SHUBHAM,2233,1200,2023-01-01,AVALABLE,MENDARA,2220,13,ANUPA,5454,MANEKVALA
18,NILESH,3243,1300,2023-12-12,AVALABLE,JAMU,2376,13,ANUPA,5454,MANEKVALA
17,VIRENDR,2321,1500,2023-03-14,AVALABLE,JAMNAGAR,2400,13,ANUPA,5454,MANEKVALA
